Numero_capitulo,Volumen,Nombre,Titulo_romanji,Titulo_viz,Paginas,Fecha,Episodios,Anio,Saga Argumental
20,3,The Way of the Thief,Dorobodo,The Way of the Thief,19,1997-12-08,1998 Issue 2,1997,Saga del East Blue
21,3,Town,Machi,Townies,19,1997-12-22,1998 Issue 4,1997,Saga del East Blue
22,3,You're the Rare Breed,Anta ga Chinju,Strange Creatures,29,1998-01-05,1998 Issue,1998,Saga del East Blue
23,3,Captain Usopp Appears,Kyaputen Usoppu Tojo,The Dread Captain Usopp,19,1998-01-12,1998 Issue,1998,Saga del East Blue
24,3,Things That Can't Be Faked,Itsuwarenu Mono,The Lie Rejecter,19,1998-01-19,1998 Issue,1998,Saga del East Blue
25,3,800 Lies,Uso 800,Lies,19,1998-01-26,1998 Issue,1998,Saga del East Blue
26,3,Captain Kuro's Plan,Kyaputen Kuro no Ikkei,Captain Kuro's Plan,19,1998-02-02,1998 Issue ,1998,Saga del East Blue
27,4,Plan,Suji,True Lies,21,1998-02-09,1998 Issue ,1998,Saga del East Blue
28,4,Crescent Moon,Mikazuki,Crescent Moon,19,1998-02-16,1998 Issue ,1998,Saga del East Blue
29,4,Hill Road,Sakamichi,Uphill Battle,21,1998-02-23,1998 Issue ,1998,Saga del East Blue
30,4,Great!!!,Gureito!!!,Backfire,19,1998-03-02,1998 Issue ,1998,Saga del East Blue
31,4,Truth,Shinjitsu,Truth,19,1998-03-09,1998 Issue ,1998,Saga del East Blue
32,4,Disaster,Daikyo,Cruel Fortune,19,1998-03-16,1998 Issue ,1998,Saga del East Blue
33,4,The Silent Man,Otonaki Otoko,The Creeping Cat,19,1998-03-23,1998 Issue ,1998,Saga del East Blue
34,4,Klahadore the Butler,Shitsuji Kurahadoru,A Humble Servant,19,1998-03-30,1998 Issue ,1998,Saga del East Blue
35,4,Neo Hill Road,Neo Sakamichi,The Steep Slope,19,1998-04-06,1998 Issue ,1998,Saga del East Blue
36,5,After Them!!,Oe!!,After Them!!,21,1998-04-13,1998 Issue ,1998,Saga del East Blue
37,5,"The Pirate ""Kuro of a Hundred Plans""","Kaizoku ""Hyakkei no Kuro""","""Captain Kuro, Of The Thousand Plans""",19,1998-04-20,1998 Issue ,1998,Saga del East Blue
38,5,Pirate Crew,Kaizokudan,Pirate Crew,20,1998-04-27,1998 Issue 22-,1998,Saga del East Blue
39,5,For Whom the Bell Tolls,Taga Tame ni Kane wa Naru,For Whom the Bell Tolls,19,1998-05-11,1998 Issue ,1998,Saga del East Blue
40,5,The Usopp Pirates,Usoppu Kaizokudan,Usopp's Pirate Crew,19,1998-05-18,1998 Issue ,1998,Saga del East Blue
41,5,To the Sea,Umi-e,To the Sea,18,1998-05-25,1998 Issue ,1998,Saga del East Blue
42,5,Yosaku and Johnny,Yosaku to Joni,Yosaku and Johnny,19,1998-06-01,1998 Issue ,1998,Saga del East Blue
43,5,Introducing Sanji,Sanji Tojo,Sanji,19,1998-06-08,1998 Issue ,1998,Saga del East Blue
44,5,Three Cooks,Sannin no Kokku,Three Tough Cooks,20,1998-06-15,1998 Issue ,1998,Saga del East Blue
45,6,Before the Storm,Arashi Mae,Before the Storm,18,1998-06-22,1998 Issue ,1998,Saga del East Blue
46,6,An Uninvited Guest,Manekarezaru Kyaku,An Uninvited Guest,19,1998-06-29,1998 Issue ,1998,Saga del East Blue
47,6,"Pirate Fleet Admiral ""Don Krieg""","Kaizoku Kantai Teitoku ""Don Kuriku""",The Don's Offer,19,1998-07-06,1998 Issue ,1998,Saga del East Blue
48,6,Leave That Path Alone,"Sono Koro, Yametoki na",Steer Clear,19,1998-07-13,1998 Issue ,1998,Saga del East Blue
49,6,Storm,Arashi,Storm,18,1998-07-18,1998 Issue ,1998,Saga del East Blue
50,6,A Parting of Ways,Onoono ga Michi,A Parting of Ways,19,1998-07-27,1998 Issue ,1998,Saga del East Blue
51,6,Roronoa Zoro Falls Into the Sea,Roronoa Zoro Umi ni Chiru,Zolo Overboard,19,1998-08-03,1998 Issue ,1998,Saga del East Blue
52,6,The Oath,Chikai,The Oath,20,1998-08-10,1998 Issue 37-,1998,Saga del East Blue
53,6,Sabagashira No. 1,Sabagashira Ichi-Go,Mackerel Head,19,1998-08-24,1998 Issue ,1998,Saga del East Blue
54,7,Pearl-san,Paru-san,Pearl,19,1998-08-31,1998 Issue ,1998,Saga del East Blue
55,7,Jungle Blood,Janguru Buraddo,Jungle Blood,19,1998-09-07,1998 Issue ,1998,Saga del East Blue
56,7,I Refuse,Ya na Kotta,I Refuse,20,1998-09-14,1998 Issue ,1998,Saga del East Blue
57,7,If You Have a Dream,Yumearu ga Yue,If You Have a Dream,19,1998-09-21,1998 Issue ,1998,Saga del East Blue
58,7,Crap-Geezer,Kuso Jiji,Crap-Geezer,19,1998-09-28,1998 Issue ,1998,Saga del East Blue
59,7,Obligation,On,Sanji's Debt,19,1998-10-05,1998 Issue ,1998,Saga del East Blue
60,7,Propriety,Kejime,Resolution,19,1998-10-12,1998 Issue ,1998,Saga del East Blue
61,7,The Demon,Oni,The Demon,20,1998-10-19,1998 Issue ,1998,Saga del East Blue
62,7,MH5,Emu-Eichi-Fuaibu,MH5,19,1998-10-26,1998 Issue ,1998,Saga del East Blue
63,8,I Won't Die,Shinane yo,I Won't Die,19,1998-11-02,1998 Issue ,1998,Saga del East Blue
64,8,The Mighty Battle Spear,Daisenso,The Mighty Battle Spear,17,1998-11-09,1998 Issue ,1998,Saga del East Blue
65,8,Prepared,Kakugo,Prepared,19,1998-11-16,1998 Issue ,1998,Saga del East Blue
66,8,The Chewed-up Spear,Kami Koroshita Yari,The Chewed-up Spear,19,1998-11-21,1998 Issue ,1998,Saga del East Blue
67,8,Soup,Supu,The Soup,19,1998-11-30,1999 Issue,1998,Saga del East Blue
68,8,The Fourth,Yoninme,The Fourth Person,19,1998-12-07,1999 Issue 2,1998,Saga del East Blue
69,8,Arlong Park,Aron Paku,Arlong Park,20,1998-12-19,1999 Issue 4,1998,Saga del East Blue
70,8,The Great Adventure of Usopp the Man,Otoko Usoppu Daiboken,The Great Adventure of Usopp the Man,21,1999-01-04,1999 Issue,1999,Saga del East Blue
71,8,Lords of All Creation,Banbutsu no Reicho,Lords of All Creation,19,1999-01-11,1999 Issue,1999,Saga del East Blue
72,9,Appropriate,Bunsoo,Proper Living,19,1999-01-18,1999 Issue,1999,Saga del East Blue
73,9,Monsters of the Grand Line,"""Gurando Rain"" Kara Kita Kaibutsu",Monsters of the Grand Line,19,1999-01-25,1999 Issue,1999,Saga del East Blue
74,9,Business,Bijinesu,Business,19,1999-02-01,1999 Issue ,1999,Saga del East Blue
75,9,Of Sea Maps and Fish-Men,Kaizu to Gyojin,Of Maps and Fish-Men,19,1999-02-08,1999 Issue ,1999,Saga del East Blue
76,9,Sleep,Neru,Sleep,19,1999-02-15,1999 Issue ,1999,Saga del East Blue
77,9,The First Step Toward a Dream,Yume no Ippo,The First Step Toward a Dream,19,1999-02-22,1999 Issue ,1999,Saga del East Blue
78,9,Bell-mere-san,Berumeru-san,Belle-Mere,19,1999-03-01,1999 Issue ,1999,Saga del East Blue
79,9,To Live,Ikiru,To Live,19,1999-03-08,1999 Issue ,1999,Saga del East Blue
80,9,A Crime is a Crime,Tsumi wa Tsumi,A Thief is a Thief,19,1999-03-15,1999 Issue ,1999,Saga del East Blue
81,9,Tears,Namida,Tears,19,1999-03-20,1999 Issue ,1999,Saga del East Blue
82,10,"OK, Let's STAND UP!","Oke, Rettsu, Sutan Dappu!","OK, Let's STAND UP!",19,1999-03-29,1999 Issue ,1999,Saga del East Blue
83,10,Luffy in Black,Rufi In Burakku,Luffy in Black,19,1999-04-05,1999 Issue ,1999,Saga del East Blue
84,10,Zombie,Zonbi,Zombie,19,1999-04-12,1999 Issue ,1999,Saga del East Blue
85,10,Three Sword Style vs. Six Sword Style,Santoryu tai Rokutoryu,Three Swords vs. Six,19,1999-04-19,1999 Issue ,1999,Saga del East Blue
86,10,Chivalry vs. Fish-Man Karate,Kishido Basasu Gyojin Karate,Heroism vs. Fish-Man Cruelty,20,1999-04-26,1999 Issue 22-,1999,Saga del East Blue
87,10,It's All Over!!,Owattanda!!,It's All Over!!,19,1999-05-10,1999 Issue ,1999,Saga del East Blue
88,10,Die!!!,Shinde!!!,Die!!!,19,1999-05-17,1999 Issue ,1999,Saga del East Blue
89,10,Trade-Off,Kotai,Trade-Off,19,1999-05-24,1999 Issue ,1999,Saga del East Blue
90,10,What Can You Do?,Nani ga Dekiru,What Can You Do?,19,1999-05-31,1999 Issue ,1999,Saga del East Blue
91,11,DARTS,Datsu,DARTS,19,1999-06-07,1999 Issue ,1999,Saga del East Blue
92,11,Happiness,Shiawase,Happiness,19,1999-06-14,1999 Issue ,1999,Saga del East Blue
93,11,Going Down,Shita e Mairimasu,Going Down,19,1999-06-21,1999 Issue ,1999,Saga del East Blue
94,11,The Second,Futarime,The Other Villain,17,1999-06-28,1999 Issue ,1999,Saga del East Blue
95,11,"Spin, Pinwheel",Maware Kazaguruma,"Spin, Pinwheel",19,1999-07-05,1999 Issue ,1999,Saga del East Blue
96,11,Greatest Evil of the East,Higashi Ichiban no Waru,The Meanest Man in the East,19,1999-07-12,1999 Issue ,1999,Saga del East Blue
97,11,Sandai Kitetsu,Sandai Kitetsu,Kitetsu III,19,1999-07-19,1999 Issue ,1999,Saga del East Blue
98,11,Dark Clouds,An'un,Dark Clouds,19,1999-07-26,1999 Issue ,1999,Saga del East Blue
99,11,Luffy Died,Rufi ga Shinda,Luffy Died,19,1999-08-02,1999 Issue ,1999,Saga del East Blue
100,12,The Legend Has Begun,Densetsu wa Hajimatta,The Legend Begins,24,1999-08-09,1999 Issue 37-,1999,Saga de Arabasta
101,12,Reverse Mountain,Rivasu Maunten,Reverse Mountain,19,1999-08-23,1999 Issue ,1999,Saga de Arabasta
102,12,"Now, The Grand Line","Sate, Gurando Rain","Now, The Grand Line",19,1999-08-30,1999 Issue ,1999,Saga de Arabasta
103,12,The Whale,Kujira,The Whale,20,1999-09-06,1999 Issue ,1999,Saga de Arabasta
104,12,Cape Promise,Yakusoku no Misaki,Cape Promise,19,1999-09-13,1999 Issue ,1999,Saga de Arabasta
105,12,Log Pose,Rogu Posu,Log Pose,19,1999-09-20,1999 Issue ,1999,Saga de Arabasta
106,12,The Town of Welcome,Kangei no Machi,The Town of Welcome,19,1999-09-27,1999 Issue ,1999,Saga de Arabasta
107,12,Moonlight and Tombstones,Gekko to Bohyo,Moonlight and Tombstones,18,1999-10-04,1999 Issue ,1999,Saga de Arabasta
108,12,100 Bounty Hunters,Hyakunin no Shokin Kasegi,100 Bounty Hunters,19,1999-10-09,1999 Issue ,1999,Saga de Arabasta
109,13,Responsibility Problem,Sekinin Mondai,A Question of Duty,19,1999-10-18,1999 Issue ,1999,Saga de Arabasta
110,13,The Night Isn't Over,Yoru wa Owaranai,The Night Isn't Over,19,1999-10-25,1999 Issue ,1999,Saga de Arabasta
111,13,The Secret Criminal Organization,Himitsu Hanzai Gaisha,The Secret Criminal Organization,18,1999-11-01,1999 Issue ,1999,Saga de Arabasta
112,13,Luffy vs. Zoro,Rufi Basasu Zoro,Luffy vs. Zolo,19,1999-11-08,1999 Issue ,1999,Saga de Arabasta
113,13,It's All Right!!!,Daijobu!!!,It's All Right!!!,19,1999-11-15,1999 Issue ,1999,Saga de Arabasta
114,13,The Course,Shinro,The Course,19,1999-11-22,1999 Issue 52-,1999,Saga de Arabasta
115,13,Little Garden of Adventure,Boken no Ritoru Gaden,Little Garden of Adventure,19,1999-12-06,2000 Issue,1999,Saga de Arabasta
116,13,Big,Dekke,Big,19,1999-12-13,2000 Issue,1999,Saga de Arabasta
117,13,Dorry and Brogy,Dori to Burogi,Dorry and Broggy,19,1999-12-20,2000 Issue 3,1999,Saga de Arabasta
118,14,Someone's Out There,Dareka Iru,Someone's Out There,19,2000-01-03,2000 Issue 5,2000,Saga de Arabasta
119,14,Makeshift,Kosoku,Deadly Improvisation,19,2000-01-17,2000 Issue,2000,Saga de Arabasta
120,14,The Red Ogre Weeps,Akaoni ga Naita,The Red Ogre Weeps,19,2000-01-24,2000 Issue,2000,Saga de Arabasta
121,14,I Knew,Wakatteita,I Knew,19,2000-01-31,2000 Issue,2000,Saga de Arabasta
122,14,A Dead Body is Useless,Shinin wa Yaku ni Tatanu,A Dead Body is Useless,19,2000-02-07,2000 Issue ,2000,Saga de Arabasta
123,14,Luffy vs. Mr. 3,Rufi Basasu Misuta Suri,Luffy vs. Mr. 3,19,2000-02-14,2000 Issue ,2000,Saga de Arabasta
124,14,The Tea is Good,Ocha ga Ume,The Tea is Good,19,2000-02-21,2000 Issue ,2000,Saga de Arabasta
125,14,Candle Champion,Kyandoru Chanpion,Candle Champion,19,2000-02-28,2000 Issue ,2000,Saga de Arabasta
126,14,Instinct,Honno,Instinct,19,2000-03-06,2000 Issue ,2000,Saga de Arabasta
127,15,Den Den Mushi,Dendenmushi,Snail-o-Phone,19,2000-03-13,2000 Issue ,2000,Saga de Arabasta
128,15,Pride (Pirate Flag),Hokori,Pirate Pride,20,2000-03-18,2000 Issue ,2000,Saga de Arabasta
129,15,Straight Ahead!!!,Massugu!!!,Straight Ahead!!!,21,2000-03-27,2000 Issue ,2000,Saga de Arabasta
130,15,Maximum Speed,Saiko Sokudo,Maximum Speed,19,2000-04-03,2000 Issue ,2000,Saga de Arabasta
131,15,Tin Plate Wapol,Buriki no Waporu,Wapol of Tin,19,2000-04-10,2000 Issue ,2000,Saga de Arabasta
132,15,See?,Ne,See?,19,2000-04-17,2000 Issue ,2000,Saga de Arabasta
133,15,Adventure in a Nameless Country,Na mo Naki Kuni no Boken,Adventure in a Nameless Country,20,2000-04-24,2000 Issue 21-,2000,Saga de Arabasta
134,15,Dr. Kureha,Dokuta Kureha,Dr. Kureha,19,2000-05-08,2000 Issue ,2000,Saga de Arabasta
135,15,Lapahn,Rapan,Lapins,19,2000-05-15,2000 Issue ,2000,Saga de Arabasta
136,15,A Man Named Dalton,Doruton to Iu Otoko,A Man Named Dalton,19,2000-05-22,2000 Issue ,2000,Saga de Arabasta
137,16,Avalanche,Nadare,Avalanche,20,2000-05-29,2000 Issue ,2000,Saga de Arabasta
138,16,The Summit,Chojo,The Summit,19,2000-06-05,2000 Issue ,2000,Saga de Arabasta
139,16,Introducing Tony Tony Chopper,Toni Toni Choppa Tojo,Enter Tony Tony Chopper,19,2000-06-12,2000 Issue ,2000,Saga de Arabasta
140,16,The Castle of Snow,Yuki no Sumu Shiro,The Castle of Snow,19,2000-06-19,2000 Issue ,2000,Saga de Arabasta
141,16,Quack Doctor,Yabu Isha,Quack Doctor,19,2000-06-26,2000 Issue ,2000,Saga de Arabasta
142,16,Skull and Sakura,Dokuro to Sakura,Skull and Cherry Blossoms,19,2000-07-03,2000 Issue ,2000,Saga de Arabasta
143,16,Clumsy,Bukiyo,Clumsy,19,2000-07-10,2000 Issue ,2000,Saga de Arabasta
144,16,Snowy Tale,Yuki Monogatari,Snowy Tale,19,2000-07-17,2000 Issue ,2000,Saga de Arabasta
145,16,Inherited Will,Uketsugareru Ishi,Carrying on His Will,19,2000-07-24,2000 Issue ,2000,Saga de Arabasta
146,17,Battle to Defend the Kingdom,Kokubosen,Battle to Defend the Kingdom,19,2000-07-31,2000 Issue ,2000,Saga de Arabasta
147,17,Downright Lie,Usoppachi,Frauds,19,2000-08-07,2000 Issue 36-,2000,Saga de Arabasta
148,17,Unbreakable,Orenai,Unbreakable,19,2000-08-21,2000 Issue ,2000,Saga de Arabasta
149,17,RUMBLE!!,Ranburu!!,RUMBLE!!,19,2000-08-28,2000 Issue ,2000,Saga de Arabasta
150,17,Royal Drum Crown 7-Shot Bliking Cannon,Roiyaru Doramu Kuraun Nana-ren Shotto Burikingu Kyanon,Royal Drum Crown 7-Shot Tin Tyrant Cannon,19,2000-09-04,2000 Issue ,2000,Saga de Arabasta
151,17,The Skies of Drum,Doramu no Sora,The Skies of Drum,19,2000-09-11,2000 Issue ,2000,Saga de Arabasta
152,17,Full Moon,Mangetsu,Full Moon,19,2000-09-18,2000 Issue ,2000,Saga de Arabasta
153,17,Hiriluk's Sakura,Hiruruku no Sakura,Hiriluk's Cherry Blossoms,19,2000-09-25,2000 Issue ,2000,Saga de Arabasta
154,17,To Arabasta,Arabasuta e,To Alabasta,19,2000-10-02,2000 Issue ,2000,Saga de Arabasta
155,17,"""Pirate"" Sir Crocodile","""Kaizoku"" Sa Kurokodairu","""Pirate"" Sir Crocodile",19,2000-10-07,2000 Issue ,2000,Saga de Arabasta
156,18,Okama Weather,Okama Biyori,Oh Come My Way Days,19,2000-10-16,2000 Issue ,2000,Saga de Arabasta
157,18,Introducing Ace,Esu Tojo,Ace Arrives,19,2000-10-23,2000 Issue ,2000,Saga de Arabasta
158,18,Landing in Arabasta,Joriku no Arabasuta,Landing in Alabasta,19,2000-10-30,2000 Issue ,2000,Saga de Arabasta
159,18,Come On,Koi yo,Come On,19,2000-11-06,2000 Issue ,2000,Saga de Arabasta
160,18,Spiders Cafe at 8 O'Clock,Supaidazu Kafe ni Hachi-ji,Spiders Café at Eight O'Clock,19,2000-11-13,2000 Issue ,2000,Saga de Arabasta
161,18,The Green City Erumalu,Midori no Machi Erumaru,The Green City Erumalu,19,2000-11-20,2000 Issue ,2000,Saga de Arabasta
162,18,Adventure in the Kingdom of Sand,Suna no Kuni no Boken,Adventure in the Kingdom of Sand,19,2000-11-27,2000 Issue ,2000,Saga de Arabasta
163,18,"Yuba, the Town of Rebels",Hanran-Gun no Machi Yuba,"Yuba, the Town of Rebels",19,2000-12-04,2001 Issue,2000,Saga de Arabasta
164,18,I Love This Country,Kuni ga Suki,I Love My Country,19,2000-12-11,2001 Issue,2000,Saga de Arabasta
165,18,Operation Utopia,Sakusenmei Yutopia,Operation Utopia,18,2000-12-18,2001 Issue 3,2000,Saga de Arabasta
166,18,Luffy vs. Vivi,Rufi Basasu Bibi,Luffy vs. Vivi,19,2001-01-04,2001 Issue 5,2001,Saga de Arabasta
167,19,Battle Front,Sensen,Battle Front,19,2001-01-15,2001 Issue,2001,Saga de Arabasta
168,19,"Rainbase, The Town of Dreams",Yume no Machi Reinbesu,"Rainbase, The Town of Dreams",19,2001-01-22,2001 Issue,2001,Saga de Arabasta
169,19,The Kingdom's Strongest Warrior,Okoku Saikyo no Senshi,The Kingdom's Strongest Warrior,19,2001-01-29,2001 Issue,2001,Saga de Arabasta
170,19,It Begins,Hajimaru,Beginning,19,2001-02-05,2001 Issue ,2001,Saga de Arabasta
171,19,"Koza, Leader of the Rebels",Hanran-Gun Rida Koza,"Koza, Leader of the Rebels",19,2001-02-10,2001 Issue ,2001,Saga de Arabasta
172,19,Rebellion,Uneri,Rebellion,19,2001-02-26,2001 Issue ,2001,Saga de Arabasta
173,19,Bananawani,Bananawani,Bananagator,19,2001-03-05,2001 Issue ,2001,Saga de Arabasta
174,19,Mr. Prince,Misuta Purinsu,Mr. Prince,19,2001-03-12,2001 Issue ,2001,Saga de Arabasta
175,19,Release,Kaiho,Release,19,2001-03-19,2001 Issue ,2001,Saga de Arabasta
176,19,Rush!!,Rasshu!!,Rush,19,2001-03-26,2001 Issue ,2001,Saga de Arabasta
177,20,30 Million vs. 81 Million,Sanzenman vs Hassenhyakuman,30 Million vs. 81 Million,19,2001-04-02,2001 Issue ,2001,Saga de Arabasta
178,20,Level G.L.,Reberu Gurandorain,Grand Line Level,19,2001-04-09,2001 Issue ,2001,Saga de Arabasta
179,20,Showdown at Alubarna,Kessen wa Arubana,Showdown at Alubarna,19,2001-04-16,2001 Issue ,2001,Saga de Arabasta
180,20,Arabasta Animal Land,Arabasuta Dobutsu Rando,Alabasta Animal Land,19,2001-04-23,2001 Issue 21-,2001,Saga de Arabasta
181,20,Super Spot-Billed Duck Quiz,Chokarugamo Kuizu,Super Sonic Duck Quiz,19,2001-05-07,2001 Issue ,2001,Saga de Arabasta
182,20,Roar,Dogo,Roar,19,2001-05-14,2001 Issue ,2001,Saga de Arabasta
183,20,Commander Karoo,Karu-Taicho,Squadron Leader Karoo,19,2001-05-21,2001 Issue ,2001,Saga de Arabasta
184,20,Molehill 4th St.,Mogurazuka Yonban-gai,Moletown Block Four,19,2001-05-28,2001 Issue ,2001,Saga de Arabasta
185,20,Oh... Is That So?,He So,Oh... Is That So?,19,2001-06-04,2001 Issue ,2001,Saga de Arabasta
186,20,4,Fo,4,19,2001-06-11,2001 Issue ,2001,Saga de Arabasta
187,21,Even Match,Gokaku,Stalemate,19,2001-06-18,2001 Issue ,2001,Saga de Arabasta
188,21,Okama Kenpo,Okama Kenpo,Oh Come My Way Karate,19,2001-06-25,2001 Issue ,2001,Saga de Arabasta
189,21,2,Tsu,2,19,2001-07-02,2001 Issue ,2001,Saga de Arabasta
190,21,Clima-Tact,Kurima Takuto,Climate Baton,19,2001-07-09,2001 Issue ,2001,Saga de Arabasta
191,21,The Woman Who Controls the Weather,Tenko o Ayatsuru Onna,She Who Controls The Weather,19,2001-07-16,2001 Issue ,2001,Saga de Arabasta
192,21,Whirlwind Warning,Senpu Chui Ho,Tornado Warning,19,2001-07-23,2001 Issue ,2001,Saga de Arabasta
193,21,Utopia,Risokyo,Utopia,19,2001-07-30,2001 Issue ,2001,Saga de Arabasta
194,21,Cutting Steel,Tetsu o Kiru,Cutting Steel,18,2001-08-06,2001 Issue 36-,2001,Saga de Arabasta
195,21,Mr. Bushido,Misuta Bushido,Mr. Bushido,21,2001-08-20,2001 Issue ,2001,Saga de Arabasta
196,22,1,Wan,1,19,2001-08-27,2001 Issue ,2001,Saga de Arabasta
197,22,The Leaders,Tosotsushatachi,The Leaders,19,2001-09-03,2001 Issue ,2001,Saga de Arabasta
198,22,4:15 PM,Gogo Yo-ji Jugo-fun,4:15 PM,19,2001-09-10,2001 Issue ,2001,Saga de Arabasta
199,22,Hope!!,Hopu!!,Hope!!,19,2001-09-17,2001 Issue ,2001,Saga de Arabasta
200,22,Water Luffy,Mizu Rufi,Water Luffy,19,2001-09-22,2001 Issue ,2001,Saga de Arabasta
201,22,Nico Robin,Niko Robin,Nico Robin,19,2001-10-01,2001 Issue ,2001,Saga de Arabasta
202,22,The Royal Mausoleum,Oke no Haka,The Royal Mausoleum,19,2001-10-06,2001 Issue ,2001,Saga de Arabasta
203,22,Crocodile-ish,Wanippoi,Crocodile-ish,19,2001-10-15,2001 Issue ,2001,Saga de Arabasta
204,22,RED,Reddo,RED,19,2001-10-22,2001 Issue ,2001,Saga de Arabasta
205,22,The Suna Suna Clan's Secret Base,Suna-Suna-Dan Himitsu Kichi,The Sand-Sand Band's Secret Fort,19,2001-10-29,2001 Issue ,2001,Saga de Arabasta
206,23,Ignition,Tenka,Ignition,19,2001-11-05,2001 Issue ,2001,Saga de Arabasta
207,23,Nightmare,Akumu,Nightmare,19,2001-11-12,2001 Issue ,2001,Saga de Arabasta
208,23,Guardian Spirit,Shugoshin,Guardian Spirit,19,2001-11-19,2001 Issue ,2001,Saga de Arabasta
209,23,I Will Surpass You,Koete Yuku,I Will Defeat You,21,2001-11-26,2001 Issue ,2001,Saga de Arabasta
210,23,0,Zero,0,17,2001-12-03,2002 Issue,2001,Saga de Arabasta
211,23,King,Ou,King,19,2001-12-10,2002 Issue,2001,Saga de Arabasta
212,23,Some Justice,Ikutsuka no Seigi,Some Justice,19,2001-12-17,2002 Issue,2001,Saga de Arabasta
213,23,VIP,Bippu,V.I.P.,23,2001-12-28,2002 Issue 4,2001,Saga de Arabasta
214,23,Strategy to Escape the Sand Kingdom,Suna no Kuni Dasshutsu Sakusen,Strategy to Escape the Sand Kingdom,19,2002-01-07,2002 Issue 6,2002,Saga de Arabasta
215,23,Last waltz,Rasuto Warutsu,Last Waltz,19,2002-01-21,2002 Issue,2002,Saga de Arabasta
216,23,Vivi's Adventure,Bibi no Boken,Vivi's Adventure,19,2002-01-28,2002 Issue,2002,Saga de Arabasta
217,24,Stowaway,Mikkosha,Stowaway,19,2002-02-04,2002 Issue ,2002,Saga de Arabasta
218,24,Why the Log Pose is Dome-Shaped,Rogu Posu ga Marui Wake,Why the Log Pose is Dome-Shaped,19,2002-02-18,2002 Issue ,2002,Saga de la isla del Cielo
219,24,Masira the Salvage King,Sarubeji-O Mashira,Masira the Salvage King,19,2002-02-25,2002 Issue ,2002,Saga de la isla del Cielo
220,24,A Walk on the Seafloor,Kaitei Sanpo,A Walk on the Seafloor,19,2002-03-04,2002 Issue ,2002,Saga de la isla del Cielo
221,24,Monsters,Kaibutsu,Monsters,19,2002-03-11,2002 Issue ,2002,Saga de la isla del Cielo
222,24,Big Time Rookies,Ogata Ruki,The Giant Novice,19,2002-03-18,2002 Issue ,2002,Saga de la isla del Cielo
223,24,I Promise Never to Fight in This Town,Watakushi wa Kono Machi de wa Kesshite Kenka Shinai to Chikaimasu,I Promise Never to Fight in This Town,19,2002-03-25,2002 Issue ,2002,Saga de la isla del Cielo
224,24,Do Not Dream,Yume o Miruna,Do Not Dream,19,2002-04-01,2002 Issue ,2002,Saga de la isla del Cielo
225,24,People's Dreams,Hito no Yume,People's Dreams,19,2002-04-08,2002 Issue ,2002,Saga de la isla del Cielo
